 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  C- C- H- H- H- H

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    016.67    042.81   
      C      6    016.67    042.81   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.10 keV   2.004E-01  2.601E-02     345 A       182 A       154 A   
   1.20 keV   2.093E-01  2.494E-02     373 A       191 A       163 A   
   1.30 keV   2.178E-01  2.397E-02     401 A       200 A       172 A   
   1.40 keV   2.260E-01  2.309E-02     428 A       208 A       180 A   
   1.50 keV   2.340E-01  2.228E-02     455 A       216 A       188 A   
   1.60 keV   2.416E-01  2.154E-02     481 A       223 A       195 A   
   1.70 keV   2.491E-01  2.085E-02     507 A       230 A       203 A   
   1.80 keV   2.563E-01  2.022E-02     533 A       237 A       210 A   
   2.00 keV   2.702E-01  1.908E-02     584 A       249 A       223 A   
   2.25 keV   2.857E-01  1.785E-02     646 A       263 A       239 A   
   2.50 keV   3.004E-01  1.680E-02     706 A       276 A       253 A   
   2.75 keV   3.143E-01  1.588E-02     765 A       288 A       267 A   
   3.00 keV   3.276E-01  1.507E-02     822 A       298 A       279 A   
   3.25 keV   3.403E-01  1.436E-02     878 A       308 A       291 A   
   3.50 keV   3.524E-01  1.372E-02     933 A       317 A       303 A   
   3.75 keV   3.642E-01  1.314E-02     987 A       326 A       313 A   
   4.00 keV   3.755E-01  1.261E-02    1039 A       334 A       323 A   
   4.50 keV   3.970E-01  1.170E-02    1141 A       348 A       342 A   
   5.00 keV   4.172E-01  1.092E-02    1240 A       361 A       359 A   
   5.50 keV   4.363E-01  1.026E-02    1335 A       372 A       375 A   
   6.00 keV   4.544E-01  9.676E-03    1428 A       382 A       390 A   
   6.50 keV   4.716E-01  9.166E-03    1517 A       392 A       403 A   
   7.00 keV   4.881E-01  8.714E-03    1605 A       400 A       416 A   
   8.00 keV   5.190E-01  7.946E-03    1773 A       416 A       439 A   
   9.00 keV   5.475E-01  7.317E-03    1934 A       429 A       460 A   
  10.00 keV   5.740E-01  6.790E-03    2089 A       441 A       478 A   
  11.00 keV   5.986E-01  6.342E-03    2238 A       451 A       495 A   
  12.00 keV   6.217E-01  5.956E-03    2382 A       460 A       511 A   
  13.00 keV   6.434E-01  5.619E-03    2522 A       469 A       525 A   
  14.00 keV   6.637E-01  5.322E-03    2658 A       476 A       538 A   
  15.00 keV   6.828E-01  5.057E-03    2790 A       483 A       551 A   
  16.00 keV   7.009E-01  4.821E-03    2920 A       490 A       562 A   
  17.00 keV   7.179E-01  4.608E-03    3046 A       495 A       573 A   
  18.00 keV   7.340E-01  4.415E-03    3170 A       501 A       584 A   
  20.00 keV   7.636E-01  4.078E-03    3412 A       512 A       603 A   
  22.50 keV   7.962E-01  3.729E-03    3703 A       523 A       625 A   
  25.00 keV   8.248E-01  3.440E-03    3984 A       534 A       644 A   
  27.50 keV   8.497E-01  3.196E-03    4257 A       543 A       662 A   
  30.00 keV   8.716E-01  2.988E-03    4523 A       552 A       678 A   
  32.50 keV   8.907E-01  2.807E-03    4784 A       560 A       694 A   
  35.00 keV   9.074E-01  2.649E-03    5040 A       567 A       708 A   
  37.50 keV   9.220E-01  2.509E-03    5292 A       574 A       721 A   
  40.00 keV   9.347E-01  2.384E-03    5541 A       580 A       734 A   
  45.00 keV   9.550E-01  2.172E-03    6030 A       594 A       758 A   
  50.00 keV   9.697E-01  1.997E-03    6511 A       606 A       780 A   
  55.00 keV   9.795E-01  1.850E-03    6987 A       617 A       801 A   
  60.00 keV   9.853E-01  1.725E-03    7460 A       628 A       820 A   
  65.00 keV   9.876E-01  1.617E-03    7932 A       639 A       839 A   
  70.00 keV   9.869E-01  1.523E-03    8403 A       649 A       856 A   
  80.00 keV   9.786E-01  1.366E-03    9352 A       674 A       891 A   
  90.00 keV   9.632E-01  1.240E-03    1.03 um      699 A       923 A   
 100.00 keV   9.431E-01  1.137E-03    1.13 um      723 A       955 A   
 110.00 keV   9.201E-01  1.051E-03    1.23 um      747 A       986 A   
 120.00 keV   8.955E-01  9.781E-04    1.33 um      771 A      1017 A   
 130.00 keV   8.703E-01  9.152E-04    1.44 um      795 A      1048 A   
 140.00 keV   8.450E-01  8.604E-04    1.55 um      820 A      1080 A   
 150.00 keV   8.202E-01  8.122E-04    1.66 um      845 A      1112 A   
 160.00 keV   7.961E-01  7.695E-04    1.78 um      870 A      1144 A   
 170.00 keV   7.730E-01  7.314E-04    1.90 um      897 A      1177 A   
 180.00 keV   7.508E-01  6.971E-04    2.02 um      924 A      1211 A   
 200.00 keV   7.096E-01  6.379E-04    2.27 um     1012 A      1281 A   
 225.00 keV   6.637E-01  5.775E-04    2.62 um     1146 A      1374 A   
 250.00 keV   6.236E-01  5.282E-04    2.98 um     1281 A      1472 A   
 275.00 keV   5.883E-01  4.871E-04    3.37 um     1418 A      1576 A   
 300.00 keV   5.573E-01  4.523E-04    3.78 um     1557 A      1686 A   
 325.00 keV   5.298E-01  4.224E-04    4.21 um     1698 A      1803 A   
 350.00 keV   5.053E-01  3.965E-04    4.66 um     1842 A      1925 A   
 375.00 keV   4.833E-01  3.737E-04    5.14 um     1988 A      2054 A   
 400.00 keV   4.635E-01  3.536E-04    5.63 um     2137 A      2188 A   
