 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.254E-01  9.551E-03     239 A       203 A       160 A   
   1.50 keV   1.298E-01  9.396E-03     255 A       212 A       167 A   
   1.60 keV   1.341E-01  9.245E-03     270 A       219 A       174 A   
   1.70 keV   1.382E-01  9.098E-03     285 A       227 A       181 A   
   1.80 keV   1.422E-01  8.956E-03     300 A       234 A       187 A   
   2.00 keV   1.499E-01  8.684E-03     330 A       248 A       199 A   
   2.25 keV   1.582E-01  8.368E-03     366 A       264 A       214 A   
   2.50 keV   1.663E-01  8.077E-03     403 A       280 A       228 A   
   2.75 keV   1.741E-01  7.807E-03     439 A       294 A       242 A   
   3.00 keV   1.817E-01  7.558E-03     474 A       307 A       254 A   
   3.25 keV   1.889E-01  7.326E-03     509 A       320 A       266 A   
   3.50 keV   1.959E-01  7.110E-03     544 A       331 A       278 A   
   3.75 keV   2.025E-01  6.909E-03     578 A       343 A       289 A   
   4.00 keV   2.089E-01  6.720E-03     612 A       353 A       300 A   
   4.50 keV   2.207E-01  6.378E-03     678 A       373 A       321 A   
   5.00 keV   2.314E-01  6.074E-03     743 A       391 A       340 A   
   5.50 keV   2.413E-01  5.802E-03     807 A       408 A       358 A   
   6.00 keV   2.504E-01  5.557E-03     870 A       424 A       375 A   
   6.50 keV   2.590E-01  5.336E-03     932 A       438 A       391 A   
   7.00 keV   2.672E-01  5.134E-03     993 A       452 A       407 A   
   8.00 keV   2.830E-01  4.781E-03    1113 A       477 A       436 A   
   9.00 keV   2.982E-01  4.479E-03    1229 A       499 A       463 A   
  10.00 keV   3.132E-01  4.219E-03    1342 A       519 A       488 A   
  11.00 keV   3.278E-01  3.992E-03    1451 A       537 A       511 A   
  12.00 keV   3.420E-01  3.791E-03    1558 A       554 A       532 A   
  13.00 keV   3.557E-01  3.613E-03    1661 A       569 A       552 A   
  14.00 keV   3.689E-01  3.453E-03    1762 A       583 A       571 A   
  15.00 keV   3.815E-01  3.308E-03    1860 A       596 A       589 A   
  16.00 keV   3.934E-01  3.177E-03    1957 A       607 A       605 A   
  17.00 keV   4.047E-01  3.057E-03    2051 A       618 A       621 A   
  18.00 keV   4.153E-01  2.947E-03    2143 A       629 A       636 A   
  20.00 keV   4.348E-01  2.753E-03    2323 A       648 A       664 A   
  22.50 keV   4.557E-01  2.547E-03    2540 A       669 A       696 A   
  25.00 keV   4.733E-01  2.373E-03    2750 A       687 A       725 A   
  27.50 keV   4.879E-01  2.225E-03    2955 A       704 A       752 A   
  30.00 keV   5.000E-01  2.095E-03    3156 A       720 A       777 A   
  32.50 keV   5.098E-01  1.982E-03    3354 A       734 A       801 A   
  35.00 keV   5.178E-01  1.882E-03    3549 A       747 A       823 A   
  37.50 keV   5.240E-01  1.793E-03    3743 A       759 A       845 A   
  40.00 keV   5.289E-01  1.712E-03    3936 A       771 A       865 A   
  45.00 keV   5.352E-01  1.574E-03    4319 A       793 A       905 A   
  50.00 keV   5.380E-01  1.458E-03    4700 A       814 A       941 A   
  55.00 keV   5.382E-01  1.360E-03    5083 A       833 A       977 A   
  60.00 keV   5.365E-01  1.275E-03    5467 A       851 A      1011 A   
  65.00 keV   5.334E-01  1.201E-03    5855 A       869 A      1044 A   
  70.00 keV   5.293E-01  1.137E-03    6246 A       886 A      1077 A   
  80.00 keV   5.192E-01  1.028E-03    7041 A       922 A      1140 A   
  90.00 keV   5.076E-01  9.396E-04    7855 A       957 A      1203 A   
 100.00 keV   4.956E-01  8.666E-04    8691 A       990 A      1264 A   
 110.00 keV   4.835E-01  8.052E-04    9550 A      1024 A      1326 A   
 120.00 keV   4.716E-01  7.525E-04    1.04 um     1057 A      1388 A   
 130.00 keV   4.601E-01  7.070E-04    1.13 um     1091 A      1450 A   
 140.00 keV   4.491E-01  6.671E-04    1.23 um     1124 A      1513 A   
 150.00 keV   4.386E-01  6.318E-04    1.32 um     1158 A      1577 A   
 160.00 keV   4.285E-01  6.004E-04    1.42 um     1192 A      1641 A   
 170.00 keV   4.189E-01  5.722E-04    1.52 um     1226 A      1706 A   
 180.00 keV   4.098E-01  5.468E-04    1.62 um     1260 A      1772 A   
 200.00 keV   3.929E-01  5.026E-04    1.83 um     1347 A      1907 A   
 225.00 keV   3.740E-01  4.573E-04    2.11 um     1466 A      2081 A   
 250.00 keV   3.572E-01  4.200E-04    2.40 um     1588 A      2261 A   
 275.00 keV   3.422E-01  3.887E-04    2.70 um     1710 A      2447 A   
 300.00 keV   3.287E-01  3.621E-04    3.02 um     1835 A      2639 A   
 325.00 keV   3.165E-01  3.392E-04    3.35 um     1961 A      2837 A   
 350.00 keV   3.054E-01  3.192E-04    3.69 um     2089 A      3040 A   
 375.00 keV   2.953E-01  3.016E-04    4.05 um     2219 A      3249 A   
 400.00 keV   2.860E-01  2.860E-04    4.41 um     2351 A      3464 A   
 450.00 keV   2.695E-01  2.595E-04    5.18 um     2728 A      3909 A   
 500.00 keV   2.553E-01  2.377E-04    6.00 um     3099 A      4374 A   
 550.00 keV   2.429E-01  2.196E-04    6.85 um     3469 A      4859 A   
 600.00 keV   2.320E-01  2.042E-04    7.75 um     3839 A      5362 A   
 650.00 keV   2.223E-01  1.909E-04    8.69 um     4210 A      5883 A   
 700.00 keV   2.136E-01  1.794E-04    9.67 um     4584 A      6421 A   
 800.00 keV   1.986E-01  1.603E-04   11.75 um     5721 A      7546 A   
 900.00 keV   1.861E-01  1.451E-04   13.97 um     6809 A      8732 A   
   1.00 MeV   1.754E-01  1.327E-04   16.34 um     7874 A      9977 A   
   1.10 MeV   1.662E-01  1.224E-04   18.84 um     8930 A      1.13 um  
   1.20 MeV   1.570E-01  1.136E-04   21.49 um     9991 A      1.26 um  
   1.30 MeV   1.492E-01  1.061E-04   24.29 um     1.11 um     1.41 um  
   1.40 MeV   1.422E-01  9.958E-05   27.23 um     1.22 um     1.55 um  
   1.50 MeV   1.360E-01  9.386E-05   30.30 um     1.33 um     1.71 um  
   1.60 MeV   1.304E-01  8.879E-05   33.52 um     1.44 um     1.87 um  
   1.70 MeV   1.253E-01  8.428E-05   36.87 um     1.55 um     2.03 um  
   1.80 MeV   1.206E-01  8.023E-05   40.35 um     1.67 um     2.20 um  
   2.00 MeV   1.123E-01  7.326E-05   47.71 um     2.04 um     2.56 um  
   2.25 MeV   1.037E-01  6.616E-05   57.63 um     2.56 um     3.04 um  
   2.50 MeV   9.639E-02  6.038E-05   68.35 um     3.07 um     3.54 um  
   2.75 MeV   9.018E-02  5.558E-05   79.84 um     3.57 um     4.09 um  
   3.00 MeV   8.482E-02  5.152E-05   92.09 um     4.07 um     4.66 um  
   3.25 MeV   8.014E-02  4.805E-05  105.08 um     4.57 um     5.26 um  
   3.50 MeV   7.600E-02  4.504E-05  118.81 um     5.07 um     5.89 um  
   3.75 MeV   7.232E-02  4.240E-05  133.27 um     5.59 um     6.56 um  
   4.00 MeV   6.902E-02  4.007E-05  148.44 um     6.11 um     7.25 um  
   4.50 MeV   6.335E-02  3.614E-05  180.86 um     7.87 um     8.71 um  
   5.00 MeV   5.863E-02  3.294E-05  216.04 um     9.54 um    10.29 um  
   5.50 MeV   5.463E-02  3.029E-05  253.93 um    11.20 um    11.98 um  
   6.00 MeV   5.121E-02  2.805E-05  294.47 um    12.84 um    13.77 um  
   6.50 MeV   4.823E-02  2.614E-05  337.62 um    14.50 um    15.67 um  
   7.00 MeV   4.562E-02  2.448E-05  383.34 um    16.18 um    17.67 um  
   8.00 MeV   4.123E-02  2.175E-05  482.26 um    21.93 um    21.97 um  
   9.00 MeV   3.769E-02  1.960E-05  591.09 um    27.37 um    26.66 um  
  10.00 MeV   3.477E-02  1.784E-05  709.60 um    32.71 um    31.73 um  
  11.00 MeV   3.231E-02  1.639E-05  837.61 um    38.06 um    37.17 um  
  12.00 MeV   3.021E-02  1.517E-05  974.94 um    43.45 um    42.97 um  
  13.00 MeV   2.840E-02  1.413E-05    1.12 mm    48.91 um    49.13 um  
  14.00 MeV   2.681E-02  1.322E-05    1.28 mm    54.47 um    55.64 um  
  15.00 MeV   2.540E-02  1.243E-05    1.44 mm    60.12 um    62.49 um  
  16.00 MeV   2.416E-02  1.173E-05    1.61 mm    65.87 um    69.68 um  
  17.00 MeV   2.304E-02  1.111E-05    1.80 mm    71.73 um    77.20 um  
  18.00 MeV   2.203E-02  1.056E-05    1.99 mm    77.70 um    85.04 um  
  20.00 MeV   2.028E-02  9.608E-06    2.39 mm    98.62 um   101.71 um  
  22.50 MeV   1.849E-02  8.643E-06    2.95 mm   128.44 um   124.32 um  
  25.00 MeV   1.702E-02  7.862E-06    3.55 mm   156.94 um   148.83 um  
  27.50 MeV   1.579E-02  7.216E-06    4.21 mm   185.03 um   175.21 um  
  30.00 MeV   1.475E-02  6.672E-06    4.91 mm   213.10 um   203.40 um  
  32.50 MeV   1.385E-02  6.207E-06    5.66 mm   241.37 um   233.36 um  
  35.00 MeV   1.307E-02  5.806E-06    6.46 mm   269.96 um   265.05 um  
  37.50 MeV   1.238E-02  5.455E-06    7.30 mm   298.94 um   298.43 um  
  40.00 MeV   1.177E-02  5.146E-06    8.19 mm   328.33 um   333.47 um  
  45.00 MeV   1.073E-02  4.626E-06   10.10 mm   432.58 um   408.41 um  
  50.00 MeV   9.889E-03  4.205E-06   12.19 mm   531.23 um   489.60 um  
  55.00 MeV   9.186E-03  3.857E-06   14.44 mm   627.79 um   576.82 um  
  60.00 MeV   8.591E-03  3.564E-06   16.86 mm   723.80 um   669.86 um  
  65.00 MeV   8.080E-03  3.314E-06   19.43 mm   820.05 um   768.53 um  
  70.00 MeV   7.637E-03  3.098E-06   22.17 mm   916.95 um   872.64 um  
  80.00 MeV   6.905E-03  2.744E-06   28.08 mm     1.26 mm     1.10 mm  
  90.00 MeV   6.325E-03  2.465E-06   34.58 mm     1.58 mm     1.34 mm  
 100.00 MeV   5.854E-03  2.239E-06   41.64 mm     1.89 mm     1.60 mm  
 110.00 MeV   5.463E-03  2.053E-06   49.24 mm     2.20 mm     1.88 mm  
 120.00 MeV   5.133E-03  1.896E-06   57.35 mm     2.50 mm     2.18 mm  
 130.00 MeV   4.851E-03  1.762E-06   65.96 mm     2.81 mm     2.49 mm  
 140.00 MeV   4.607E-03  1.647E-06   75.05 mm     3.12 mm     2.82 mm  
 150.00 MeV   4.394E-03  1.546E-06   84.60 mm     3.43 mm     3.16 mm  
 160.00 MeV   4.206E-03  1.457E-06   94.59 mm     3.74 mm     3.52 mm  
 170.00 MeV   4.040E-03  1.379E-06  105.01 mm     4.06 mm     3.89 mm  
 180.00 MeV   3.891E-03  1.308E-06  115.85 mm     4.37 mm     4.27 mm  
 200.00 MeV   3.636E-03  1.188E-06  138.70 mm     5.50 mm     5.06 mm  
 225.00 MeV   3.379E-03  1.066E-06  169.36 mm     7.08 mm     6.12 mm  
 250.00 MeV   3.171E-03  9.678E-07  202.18 mm     8.55 mm     7.23 mm  
 275.00 MeV   3.001E-03  8.866E-07  237.01 mm     9.96 mm     8.39 mm  
 300.00 MeV   2.859E-03  8.185E-07  273.69 mm    11.32 mm     9.60 mm  
 325.00 MeV   2.738E-03  7.603E-07  312.10 mm    12.65 mm    10.85 mm  
 350.00 MeV   2.635E-03  7.102E-07  352.11 mm    13.95 mm    12.13 mm  
 375.00 MeV   2.545E-03  6.665E-07  393.60 mm    15.24 mm    13.45 mm  
 400.00 MeV   2.467E-03  6.280E-07  436.49 mm    16.51 mm    14.79 mm  
 450.00 MeV   2.337E-03  5.634E-07  526.01 mm    20.99 mm    17.55 mm  
 500.00 MeV   2.235E-03  5.112E-07  620.08 mm    25.04 mm    20.38 mm  
