52.64	71.38	12
52.64	71.38	12
52.64	71.38	12
52.64	71.38	12
49.97	77.75	12
49.97	77.75	12
49.97	77.75	12
49.97	77.75	12
74.89	59.45	12
74.89	59.45	12
74.89	59.45	12
74.89	59.45	12
91.61	86.95	12
91.61	86.95	12
91.61	86.95	12
91.61	86.95	12
61.07	72.97	12
61.07	72.97	12
61.07	72.97	12
61.07	72.97	12
64.46	77.92	12
64.46	77.92	12
64.46	77.92	12
64.46	77.92	12
64.44	52	12
64.44	52	12
64.44	52	12
64.44	52	12
62.63	74.62	12
62.63	74.62	12
62.63	74.62	12
62.63	74.62	12
90.72	87.24	12
90.72	87.24	12
90.72	87.24	12
90.72	87.24	12
90.15	88.19	12
90.15	88.19	12
90.15	88.19	12
90.15	88.19	12
95.74	102.6	12
95.74	102.6	12
95.74	102.6	12
95.74	102.6	12
85.07	76.03	12
85.07	76.03	12
85.07	76.03	12
85.07	76.03	12
80.45	92.5	12
80.45	92.5	12
80.45	92.5	12
80.45	92.5	12
100.03	85.74	12
100.03	85.74	12
100.03	85.74	12
100.03	85.74	12
95.44	97.77	12
95.44	97.77	12
95.44	97.77	12
95.44	97.77	12
99.51	84.6	12
99.51	84.6	12
99.51	84.6	12
99.51	84.6	12
67.56	67.36	111.74
67.56	67.36	111.34
67.56	67.36	68.86
67.56	67.36	95.69
74.78	70.34	111.74
74.78	70.34	111.34
74.78	70.34	68.86
74.78	70.34	95.69
76.65	58.77	111.74
76.65	58.77	111.34
76.65	58.77	68.86
76.65	58.77	95.69
74.35	87.73	111.74
74.35	87.73	111.34
74.35	87.73	68.86
74.35	87.73	95.69
55.87	85.55	119.41
55.87	85.55	94.4
55.87	85.55	124.06
55.87	85.55	114.93
68.28	61.03	119.41
68.28	61.03	94.4
68.28	61.03	124.06
68.28	61.03	114.93
97.32	84.74	119.41
97.32	84.74	94.4
97.32	84.74	124.06
97.32	84.74	114.93
73.1	100.53	119.41
73.1	100.53	94.4
73.1	100.53	124.06
73.1	100.53	114.93
87.1	113.35	91.09
87.1	113.35	78.44
87.1	113.35	118.48
87.1	113.35	89.83
55.5	76.84	91.09
55.5	76.84	78.44
55.5	76.84	118.48
55.5	76.84	89.83
70.7	83.31	91.09
70.7	83.31	78.44
70.7	83.31	118.48
70.7	83.31	89.83
104.53	79.34	91.09
104.53	79.34	78.44
104.53	79.34	118.48
104.53	79.34	89.83
76.2	102.47	71.22
76.2	102.47	91.36
76.2	102.47	72.14
76.2	102.47	98.15
82.67	80.65	71.22
82.67	80.65	91.36
82.67	80.65	72.14
82.67	80.65	98.15
80.51	77.11	71.22
80.51	77.11	91.36
80.51	77.11	72.14
80.51	77.11	98.15
87.35	100	71.22
87.35	100	91.36
87.35	100	72.14
87.35	100	98.15
41.81	63.34	90.82
41.81	63.34	62.92
41.81	63.34	103.67
41.81	63.34	76.23
60.61	38.83	90.82
60.61	38.83	62.92
60.61	38.83	103.67
60.61	38.83	76.23
45.63	60.41	90.82
45.63	60.41	62.92
45.63	60.41	103.67
45.63	60.41	76.23
44.17	47.25	90.82
44.17	47.25	62.92
44.17	47.25	103.67
44.17	47.25	76.23
77.91	74.86	108.79
77.91	74.86	119.75
77.91	74.86	115.95
77.91	74.86	79.86
79.03	69.47	108.79
79.03	69.47	119.75
79.03	69.47	115.95
79.03	69.47	79.86
64.41	76.59	108.79
64.41	76.59	119.75
64.41	76.59	115.95
64.41	76.59	79.86
60.7	57.42	108.79
60.7	57.42	119.75
60.7	57.42	115.95
60.7	57.42	79.86
71.18	83.11	112.68
71.18	83.11	112.58
71.18	83.11	108.42
71.18	83.11	124.12
62.78	58.16	112.68
62.78	58.16	112.58
62.78	58.16	108.42
62.78	58.16	124.12
76.26	58	112.68
76.26	58	112.58
76.26	58	108.42
76.26	58	124.12
48.93	88.14	112.68
48.93	88.14	112.58
48.93	88.14	108.42
48.93	88.14	124.12
72.24	61.52	105.39
72.24	61.52	114.5
72.24	61.52	124.08
72.24	61.52	127.09
51.68	68.52	105.39
51.68	68.52	114.5
51.68	68.52	124.08
51.68	68.52	127.09
65.13	59.16	105.39
65.13	59.16	114.5
65.13	59.16	124.08
65.13	59.16	127.09
51.18	93.86	105.39
51.18	93.86	114.5
51.18	93.86	124.08
51.18	93.86	127.09
